generation,cross_entropy,validation_error
144500,0.039,19.909
145000,0.056,21.449
145500,0.050,16.603
146000,0.057,16.590
146500,0.028,14.078
147000,2.968,13.392
147500,0.096,15.238
148000,0.009,18.331
148500,0.102,19.755
149000,0.038,17.425
149500,0.098,18.306
150000,0.014,16.816
150500,0.051,15.335
151000,0.138,14.957
151500,0.324,16.282
152000,0.056,15.258
152500,0.079,12.706
153000,0.082,16.790
153500,0.027,11.829
154000,0.090,14.111
154500,10.547,14.215
155000,0.008,16.058
155500,0.025,14.042
156000,0.065,10.900
156500,0.044,14.116
157000,0.079,15.400
157500,0.033,18.825
158000,0.026,16.040
158500,0.065,13.890
159000,4.125,14.675
159500,0.003,17.935
160000,0.006,15.276
160500,0.001,16.940
161000,0.065,14.571
161500,4.762,13.562
162000,0.005,12.661
162500,0.073,16.063
163000,0.028,16.768
163500,0.009,14.671
164000,0.013,14.436
164500,0.004,13.945
165000,0.040,16.384
165500,0.024,14.039
166000,0.117,11.637
166500,0.007,16.104
167000,0.171,13.134
167500,0.154,13.622
168000,0.146,13.673
168500,0.009,9.394
169000,0.033,13.401
169500,0.018,12.841
170000,0.188,16.798
170500,0.322,17.381
171000,0.031,12.819
171500,0.001,17.685
172000,0.032,16.881
172500,0.046,16.893
173000,0.172,18.552
173500,0.026,13.585
174000,0.071,14.303
174500,0.071,14.056
175000,0.004,24.452
175500,0.005,16.096
176000,0.007,14.619
176500,0.039,16.414
177000,0.028,15.595
177500,0.025,15.538
178000,0.343,13.960
178500,0.044,12.768
179000,0.124,11.264
179500,0.020,13.733
180000,0.191,13.250
180500,7.566,12.693
181000,0.022,15.410
181500,0.050,14.752
182000,10.547,15.273
182500,0.129,12.328
183000,0.078,16.509
183500,0.065,12.428
184000,0.001,12.451
184500,0.730,10.072
185000,0.000,10.783
185500,0.005,14.343
186000,0.022,11.747
186500,0.009,12.373
187000,1.263,15.826
187500,0.031,13.426
188000,0.044,13.629
188500,0.008,11.385
189000,0.045,13.683
189500,0.117,16.391
190000,0.009,14.721
190500,0.041,13.764
191000,0.015,9.658
191500,0.144,13.826
192000,0.240,17.862
192500,0.018,13.039
193000,0.060,22.837
193500,0.077,17.935
194000,0.007,11.821
194500,0.503,19.221
195000,0.078,15.213
195500,2.947,16.737
196000,0.084,20.936
196500,0.055,17.879
197000,0.019,16.558
197500,0.030,15.414
198000,0.046,17.163
198500,0.084,14.525
199000,0.150,18.659
199500,0.005,15.130
200000,0.088,13.887
200500,0.006,15.194
201000,0.038,20.213
201500,0.084,18.335
202000,0.038,11.355
202500,0.023,15.696
203000,0.023,13.685
203500,0.044,16.367
204000,0.187,18.185
204500,0.064,16.400
205000,0.145,18.155
205500,0.049,17.213
206000,0.061,15.461
206500,0.029,15.625
207000,1.231,19.208
207500,0.050,14.908
208000,0.009,18.382
208500,0.073,17.395
209000,0.082,17.397
209500,0.045,19.254
210000,0.010,14.446
210500,0.030,14.586
211000,0.616,15.025
211500,0.310,17.393
212000,0.036,14.653
212500,0.118,14.122
213000,0.102,15.854
213500,0.020,14.460
214000,0.124,15.436
214500,8.379,12.317
215000,0.006,19.019
215500,0.053,14.191
216000,0.256,14.119
216500,0.054,11.573
217000,0.082,13.603
217500,0.037,17.561
218000,0.129,13.206
218500,0.047,13.240
219000,0.082,14.520
219500,0.002,12.587
220000,0.001,14.419
220500,0.001,16.110
221000,0.076,17.750
221500,5.220,14.755
222000,0.004,9.459
222500,0.088,12.865
223000,0.032,15.801
223500,0.010,13.770
224000,0.041,16.716
224500,0.001,16.025
225000,0.030,16.071
225500,0.021,14.586
226000,0.084,13.959
226500,0.011,13.728
227000,0.096,14.094
227500,0.135,17.704
228000,0.195,14.858
228500,0.010,14.224
229000,0.040,14.571
229500,0.078,13.250
230000,0.120,16.175
230500,0.018,14.142
231000,0.028,12.491
231500,0.001,15.474
232000,0.022,11.865
232500,0.060,14.957
233000,0.093,15.775
233500,0.034,16.060
234000,0.085,17.025
234500,0.051,13.888
235000,0.008,16.275
235500,0.007,15.093
236000,0.006,16.647
236500,0.035,14.655
237000,0.019,13.276
237500,0.019,11.517
238000,0.299,13.889
238500,0.033,9.789
239000,0.028,10.938
239500,0.030,10.933
240000,0.184,10.049
240500,9.009,11.302
241000,0.030,8.561
241500,0.053,14.465
242000,10.642,13.224
242500,0.048,13.057
243000,0.270,11.943
243500,0.080,13.555
244000,0.001,12.479
244500,0.842,10.107
245000,0.000,13.198
245500,0.007,10.398
246000,0.012,12.296
246500,0.011,13.300
247000,0.053,16.986
247500,0.033,16.268
248000,0.032,11.621
248500,0.008,11.805
249000,0.040,14.185
249500,0.090,14.108
250000,0.010,12.768
250500,0.020,11.552
251000,0.013,9.917
251500,0.085,9.618
252000,0.115,13.177
252500,0.020,10.217
253000,0.151,15.055
253500,0.050,14.501
254000,0.005,10.854
254500,0.472,13.201
255000,0.150,11.487
255500,0.492,10.490
256000,0.048,19.879
256500,0.048,19.735
257000,0.033,10.877
257500,0.038,13.695
258000,0.054,14.442
258500,0.043,12.954
259000,0.057,12.633
259500,0.005,13.599
260000,0.068,10.351
260500,0.008,10.579
261000,0.022,13.941
261500,0.061,12.303
262000,0.121,9.258
262500,0.020,13.292
263000,0.012,9.689
263500,0.034,11.881
264000,0.169,11.857
264500,0.034,15.504
265000,0.081,20.692
265500,0.034,11.135
266000,0.033,13.213
266500,0.002,13.368
267000,3.895,12.823
267500,0.080,13.828
268000,0.013,13.098
268500,0.052,18.742
269000,0.067,15.165
269500,0.054,14.566
270000,0.008,16.943
270500,0.042,15.173
271000,1.408,15.485
271500,0.318,16.971
272000,0.053,13.153
272500,0.122,14.127
273000,0.082,13.988
273500,0.026,12.144
274000,0.094,12.036
274500,8.870,12.513
275000,0.006,14.965
275500,0.066,11.631
276000,0.041,8.357
276500,0.028,8.784
277000,0.072,10.468
277500,0.026,14.363
278000,0.033,13.858
278500,0.068,10.951
279000,6.425,13.500
279500,0.001,15.738
280000,0.001,14.397
280500,0.001,18.246
281000,0.008,14.280
281500,3.702,13.277
282000,0.003,11.822
282500,0.112,13.515
283000,0.059,15.643
283500,0.008,11.638
284000,0.019,14.457
284500,0.001,14.142
285000,0.025,16.513
285500,0.012,8.624
286000,0.103,13.380
286500,0.009,14.336
287000,0.146,14.315
287500,0.120,14.131
288000,0.144,16.783
288500,0.011,15.501
289000,0.048,13.248
289500,0.056,12.484
290000,0.041,14.204
290500,0.048,14.581
291000,0.031,12.475
291500,0.001,12.240
292000,0.028,11.102
292500,0.069,14.349
293000,0.093,17.402
293500,0.052,15.062
294000,0.116,15.429
294500,0.046,13.653
295000,0.025,14.945
295500,0.007,13.649
296000,0.007,14.862
296500,0.042,14.597
297000,0.024,13.266
297500,0.012,13.563
298000,0.211,10.787
298500,0.044,10.343
299000,0.067,13.396
299500,0.025,12.996
